id,type,kz,ru,example_kz,example_ru,category,status,difficulty,source,tags
1,word,жүзеге асыру,реализовать,Жобаны жүзеге асыру керек.,Нужно реализовать проект.,office,learning,3,personal_dictionary,реализация;управление
2,word,тиіс,должен; следует,Жауапты тұлға қатысуы тиіс.,Ответственное лицо должно участвовать.,office,learning,2,personal_dictionary,обязанность
3,word,жауапкершілік,ответственность,Бұл жұмыс үлкен жауапкершілікті талап етеді.,Эта работа требует большой ответственности.,office,learning,2,personal_dictionary,управление
4,word,қарастыру,рассмотреть,Ұсынысты қарастыру керек.,Нужно рассмотреть предложение.,office,learning,2,personal_dictionary,решение
5,word,бастама,инициатива,Бұл бастама маңызды.,Эта инициатива важна.,office,learning,2,personal_dictionary,проект
6,word,қатысу,участвовать,Отырысқа қатысу керек.,Нужно участвовать в заседании.,office,learning,2,personal_dictionary,совещание
7,word,жүктеу,возложить; поручить,Жауапкершілікті бөлімге жүктеу керек.,Нужно возложить ответственность на отдел.,office,learning,3,personal_dictionary,управление
8,word,талап ету,требовать,Бұл жұмыс уақытты талап етеді.,Эта работа требует времени.,office,learning,2,personal_dictionary,требование
9,word,жан-жақты,всесторонне,Мәселені жан-жақты қарастыру керек.,Нужно всесторонне рассмотреть вопрос.,office,learning,2,personal_dictionary,анализ
10,word,қамтамасыз ету,обеспечить,Жоспардың орындалуын қамтамасыз ету керек.,Нужно обеспечить выполнение плана.,office,learning,3,personal_dictionary,управление
11,word,жетілдіру,совершенствовать,Жүйені жетілдіру керек.,Нужно совершенствовать систему.,office,learning,3,personal_dictionary,развитие
12,word,үйлестіру,координировать,Бөлімдердің жұмысын үйлестіру керек.,Нужно координировать работу отделов.,office,learning,3,personal_dictionary,управление
13,word,қадағалау,контролировать,Орындалуын қадағалау керек.,Нужно контролировать выполнение.,office,learning,3,personal_dictionary,контроль
14,word,мерзім,срок,Мерзімді нақтылау керек.,Нужно уточнить срок.,office,learning,2,personal_dictionary,планирование
15,word,белгілеу,назначить; определить,Жауапты тұлғаны белгілеу керек.,Нужно назначить ответственное лицо.,office,learning,2,personal_dictionary,управление
16,word,тиімділік,эффективность,Жұмыс тиімділігін арттыру керек.,Нужно повысить эффективность работы.,office,learning,2,personal_dictionary,результат
17,word,басымдық,приоритет,Бұл бағыт — негізгі басымдық.,Это направление — основной приоритет.,office,learning,2,personal_dictionary,стратегия
18,word,ықпал ету,влиять,Бұл шешім нәтижеге оң ықпал етеді.,Это решение положительно влияет на результат.,office,learning,3,personal_dictionary,влияние
19,word,тұрақты түрде,регулярно; на постоянной основе,Жұмысты тұрақты түрде қадағалау керек.,Нужно регулярно контролировать работу.,office,learning,3,personal_dictionary,наречие
20,word,атқарылған,выполненный,Атқарылған жұмыс туралы ақпарат беріңіз.,Предоставьте информацию о выполненной работе.,office,learning,2,personal_dictionary,отчет
21,word,тұлға,лицо; персона,Жауапты тұлға белгіленді.,Ответственное лицо назначено.,office,learning,2,personal_dictionary,управление
22,word,ескеру,учитывать,Ұсыныстарды ескеру керек.,Нужно учитывать предложения.,office,learning,3,personal_dictionary,анализ
23,word,қорытынды,итог; заключение,Отырыстың қорытындысы дайын.,Итоги заседания готовы.,office,learning,2,personal_dictionary,совещание
24,word,бағыт,направление,Бұл бағыт маңызды.,Это направление важно.,office,learning,2,personal_dictionary,стратегия
25,word,тәсіл,подход; способ,Жаңа тәсілді қолдану керек.,Нужно применить новый подход.,office,learning,3,personal_dictionary,метод
26,word,талдау,анализировать; анализ,Деректерді талдау керек.,Нужно анализировать данные.,office,learning,2,personal_dictionary,аналитика
27,word,келісу,согласовать,Құжатты келісу керек.,Нужно согласовать документ.,office,learning,2,personal_dictionary,документ
28,word,жіберу,отправить,Құжатты уақтылы жіберіңіз.,Отправьте документ своевременно.,office,learning,2,personal_dictionary,документ
29,word,мақсат,цель,Жобаның мақсатын анықтау керек.,Нужно определить цель проекта.,office,learning,2,personal_dictionary,проект
30,word,міндет,задача; обязанность,Негізгі міндеттерді нақтылау керек.,Нужно уточнить основные задачи.,office,learning,2,personal_dictionary,проект
31,word,нәтиже,результат,Жұмыстың нәтижесін талқылаймыз.,Обсудим результат работы.,office,learning,2,personal_dictionary,результат
32,word,кезең,этап,Жобаның бірінші кезеңі аяқталды.,Первый этап проекта завершен.,office,learning,2,personal_dictionary,проект
33,word,талқылау,обсуждать,Мәселені бірге талқылайық.,Давайте вместе обсудим вопрос.,office,learning,2,personal_dictionary,совещание
34,word,қабылдау,принимать,Шешім қабылдау керек.,Нужно принять решение.,office,learning,2,personal_dictionary,решение
35,word,дайындау,подготовить,Құжаттарды дайындау керек.,Нужно подготовить документы.,office,learning,2,personal_dictionary,документ
36,word,тексеру,проверить,Атқарылған жұмысты тексеру керек.,Нужно проверить выполненную работу.,office,learning,2,personal_dictionary,контроль
37,word,өзгерту,изменить,Жоспарды өзгерту керек.,Нужно изменить план.,office,learning,2,personal_dictionary,планирование
38,word,хабарлау,сообщить; проинформировать,Нәтиже туралы хабарлау керек.,Нужно сообщить о результате.,office,learning,2,personal_dictionary,коммуникация
39,word,уақтылы,своевременно,Ақпаратты уақтылы жіберіңіз.,Отправьте информацию своевременно.,office,learning,2,personal_dictionary,наречие
40,word,бірлесіп,совместно,Ұсыныстарды бірлесіп талқылаймыз.,Совместно обсудим предложения.,office,learning,2,personal_dictionary,наречие
41,word,анықтау,определить; установить,Негізгі мақсатты анықтау керек.,Нужно определить основную цель.,office,learning,2,personal_dictionary,анализ
42,word,жалғастыру,продолжить,Жұмысты жалғастырамыз.,Продолжим работу.,general,learning,2,personal_dictionary,действие
43,word,қадам,шаг,Келесі қадамды анықтайық.,Определим следующий шаг.,office,learning,2,personal_dictionary,планирование
44,word,нақты,конкретный; точный,Нақты мерзімді көрсетіңіз.,Укажите конкретный срок.,office,learning,2,personal_dictionary,уточнение
45,word,қамту,охватывать; включать,Бағдарлама бірнеше бағытты қамтиды.,Программа охватывает несколько направлений.,office,learning,2,personal_dictionary,структура
46,word,деректер,данные,Деректерді өңдеу керек.,Нужно обработать данные.,it_ai,learning,2,personal_dictionary,данные
47,word,жасанды интеллект,искусственный интеллект,Жасанды интеллектіні қолданамыз.,Мы используем искусственный интеллект.,it_ai,learning,2,personal_dictionary,ИИ
48,word,алгоритм,алгоритм,Алгоритмді әзірлеу керек.,Нужно разработать алгоритм.,it_ai,learning,2,personal_dictionary,ИИ
49,word,модель,модель,Модельді оқыту керек.,Нужно обучить модель.,it_ai,learning,2,personal_dictionary,ИИ
50,word,жүйе,система,Ақпараттық жүйені жаңарту керек.,Нужно обновить информационную систему.,it_ai,learning,2,personal_dictionary,ИТ
51,word,бағдарламалық,программный,Бағдарламалық шешім әзірленді.,Разработано программное решение.,it_ai,learning,2,personal_dictionary,ПО
52,word,жасақтама,обеспечение; ПО,Жасақтаманы жаңарту керек.,Нужно обновить программное обеспечение.,it_ai,learning,3,personal_dictionary,ПО
53,word,әзірлеу,разрабатывать,Жаңа жүйені әзірлеу керек.,Нужно разработать новую систему.,it_ai,learning,2,personal_dictionary,разработка
54,word,енгізу,внедрить; ввести,Жүйені оқу үдерісіне енгізу керек.,Нужно внедрить систему в учебный процесс.,it_ai,learning,2,personal_dictionary,внедрение
55,word,өңдеу,обрабатывать,Үлкен көлемдегі деректерді өңдеу керек.,Нужно обрабатывать большие объемы данных.,it_ai,learning,2,personal_dictionary,данные
56,word,қауіпсіздік,безопасность,Ақпараттық қауіпсіздікті қамтамасыз ету керек.,Нужно обеспечить информационную безопасность.,it_ai,learning,2,personal_dictionary,безопасность
57,word,қолдану,использовать; применять,Заманауи тәсілді қолданамыз.,Мы применяем современный подход.,it_ai,learning,2,personal_dictionary,использование
58,word,үдеріс,процесс,Оқу үдерісін жетілдіру керек.,Нужно совершенствовать учебный процесс.,office,learning,3,personal_dictionary,процесс
59,word,көлем,объём,Деректер көлемі артты.,Объем данных увеличился.,it_ai,learning,2,personal_dictionary,данные
60,word,заманауи,современный,Заманауи технологияларды қолданамыз.,Мы используем современные технологии.,it_ai,learning,2,personal_dictionary,технологии
61,word,жаңарту,обновлять,Бағдарламалық жасақтаманы жаңарту керек.,Нужно обновить программное обеспечение.,it_ai,learning,2,personal_dictionary,обновление
62,word,сала,сфера; отрасль,Осы салада тәжірибеміз бар.,У нас есть опыт в этой сфере.,office,learning,2,work_documents,деловая речь
63,word,сарапшы,эксперт,Сарапшылардың пікірін ескеру керек.,Нужно учесть мнение экспертов.,office,learning,2,work_documents,эксперт
64,word,назар,внимание,Бұл мәселеге назар аудару керек.,Нужно обратить внимание на этот вопрос.,office,learning,2,work_documents,деловая речь
65,word,қажеттілік,необходимость; потребность,Қажеттілікті анықтау керек.,Нужно определить потребность.,office,learning,2,work_documents,планирование
66,word,байланысты,в связи с; связанный,Осыған байланысты ақпарат жіберіңіз.,В связи с этим отправьте информацию.,office,learning,2,work_documents,связка
67,word,пайдалану,использовать,Материалды жұмыста пайдалануға болады.,Материал можно использовать в работе.,office,learning,2,work_documents,использование
68,word,хаттамалық,протокольный,Хаттамалық тапсырма берілді.,Дано протокольное поручение.,official,learning,3,work_documents,протокол
69,word,орындалу,исполнение; выполнение,Тапсырманың орындалуы бақыланады.,Выполнение поручения контролируется.,official,learning,2,work_documents,исполнение
