id,title_ru,title_kz,category,level,short_rule_ru,formation,formula,example_1_kz,example_1_ru,example_2_kz,example_2_ru,example_3_kz,example_3_ru,example_4_kz,example_4_ru,example_5_kz,example_5_ru,note_ru,tags
rule_001,Причастие будущего времени -атын/-етін/-йтын/-йтін, -атын/-етін/-йтын/-йтін есімше,Причастия,2,Обозначает действие которое будет или должно быть совершено. Используется как определение к существительному.,К основе глагола добавляется -атын/-етін/-йтын/-йтін в зависимости от последнего звука основы.,основа глагола + -атын/-етін/-йтын/-йтін + существительное,қаралатын мәселе,вопрос который будет рассмотрен,орындалатын жұмыс,работа которая будет выполнена,өтетін отырыс,заседание которое состоится,жасалатын жоспар,план который будет составлен,бекітілетін құжат,документ который будет утвержден,Если основа оканчивается на согласный — -атын/-етін. На гласный или р/у/й — -йтын/-йтін.,причастие;будущее время
rule_002,Причастие прошедшего времени -ған/-ген/-қан/-кен, -ған/-ген/-қан/-кен есімше,Причастия,1,Обозначает действие которое уже произошло.,К основе глагола добавляется -ған/-ген/-қан/-кен.,основа глагола + -ған/-ген/-қан/-кен,қаралған мәселе,рассмотренный вопрос,жазылған хат,написанное письмо,айтылған сөз,сказанное слово,бекітілген шешім,утвержденное решение,орындалған жұмыс,выполненная работа,Звонкие согласные и гласные → -ған/-ген. Глухие согласные → -қан/-кен.,причастие;прошедшее время
rule_003,Окончание местного падежа -да/-де/-та/-те/-нда/-нде, -да/-де/-та/-те/-нда/-нде жатыс септік,Окончания,1,Обозначает место или время действия. Отвечает на вопрос «где? когда?»,К основе добавляется -да/-де/-та/-те в зависимости от последнего звука. После притяжательных окончаний — -нда/-нде.,существительное + -да/-де/-та/-те/-нда/-нде,кеңседе,в офисе,қалада,в городе,үстелде,на столе,жұмыста,на работе,жиналыста,на собрании,После звонких и гласных → -да/-де. После глухих → -та/-те.,падеж;местный;окончание
rule_004,Окончание исходного падежа -дан/-ден/-тан/-тен/-нан/-нен, -дан/-ден/-тан/-тен/-нан/-нен шығыс септік,Окончания,1,Обозначает исходную точку движения или причину. Отвечает на вопрос «откуда? от чего?»,К основе добавляется -дан/-ден/-тан/-тен. После притяжательных — -нан/-нен.,существительное + -дан/-ден/-тан/-тен/-нан/-нен,кеңседен,из офиса,қаладан,из города,үстелден,со стола,бастап,начиная с,жұмыстан,с работы,После гласных и звонких → -дан/-ден. После глухих → -тан/-тен.,падеж;исходный;окончание
rule_005,Окончание дательно-направительного падежа -ға/-ге/-қа/-ке, -ға/-ге/-қа/-ке барыс септік,Окончания,1,Обозначает направление действия или цель. Отвечает на вопрос «куда? кому?»,К основе добавляется -ға/-ге/-қа/-ке.,существительное + -ға/-ге/-қа/-ке,мектепке,в школу,кеңсеге,в офис,қалаға,в город,досқа,другу,үйге,домой,Звонкие и гласные → -ға/-ге. Глухие → -қа/-ке.,падеж;дательный;окончание
rule_006,Конструкция деген,деген конструкциясы,Связующие конструкции,2,Конструкция «деген» используется для уточнения или пояснения. Означает «под названием», «который называется».,деген ставится между поясняемым и поясняющим словами.,слово + деген + пояснение,Астана деген қала,город под названием Астана,«Еңбек» деген газет,газета «Еңбек»,аппараттық мәжіліс деген термин,термин «аппаратное совещание»,Ол деген адам,тот самый человек,Бұл дегеніміз,это означает,Часто используется в разговорной речи для введения терминов и пояснений.,конструкция;деген;пояснение
rule_007,Окончание винительного падежа -ны/-ні/-ды/-ді/-ты/-ті, -ны/-ні/-ды/-ді/-ты/-ті табыс септік,Окончания,1,Обозначает прямой объект действия. Отвечает на вопрос «кого? что?»,К основе добавляется -ны/-ні/-ды/-ді/-ты/-ті.,существительное + -ны/-ні/-ды/-ді/-ты/-ті,жоспарды,план,хатты,письмо,жұмысты,работу,шешімді,решение,кеңсені,офис,После притяжательных окончаний 3-го лица → -н.,падеж;винительный;окончание
rule_008,Окончание родительного падежа -ның/-нің/-дың/-дің/-тың/-тің, -ның/-нің/-дың/-дің/-тың/-тің ілік септік,Окончания,1,Обозначает принадлежность. Отвечает на вопрос «кого? чего? чей?»,К основе добавляется -ның/-нің/-дың/-дің/-тың/-тің.,существительное + -ның/-нің/-дың/-дің/-тың/-тің,кеңсенің,офиса,қаланың,города,жоспардың,плана,ұйымның,организации,қызметкердің,сотрудника,После гласных → -ның/-нің. После согласных → -дың/-дің/-тың/-тің.,падеж;родительный;окончание
rule_009,Причастие настоящего времени -а/-е/-й, -а/-е/-й есімше,Причастия,2,Обозначает действие происходящее в данный момент или регулярно.,К основе глагола добавляется -а/-е/-й.,основа глагола + -а/-е/-й,жаза отырған қызметкер,сотрудник который пишет,бара жатқан поезд,поезд который идет,айтатын әдет,привычка говорить,сөйлейтін адам,говорящий человек,отыратын орын,сидячее место,Образует сложные глагольные конструкции с вспомогательными глаголами.,причастие;настоящее время
rule_010,Частица -ма/-ме/-ба/-бе/-па/-пе, -ма/-ме/-ба/-бе/-па/-пе болымсыздық,Связующие конструкции,1,Отрицательная частица для глаголов. Добавляется к основе глагола.,К основе глагола добавляется -ма/-ме/-ба/-бе/-па/-пе.,основа + -ма/-ме/-ба/-бе/-па/-пе + окончание,барма,не ходи,келме,не приходи,жазба,не пиши,айтпа,не говори,білме,не знай,Выбор варианта зависит от последнего звука основы.,частица;отрицание
rule_011,Окончание множественного числа -лар/-лер/-дар/-дер/-тар/-тер, -лар/-лер/-дар/-дер/-тар/-тер көпше жалғау,Окончания,1,Образует множественное число существительных.,К основе добавляется -лар/-лер/-дар/-дер/-тар/-тер.,существительное + -лар/-лер/-дар/-дер/-тар/-тер,кеңселер,офисы,қалалар,города,жұмыстар,работы,хаттар,письма,шешімдер,решения,После гласных и звонких → -лар/-лер/-дар/-дер. После глухих → -тар/-тер.,множественное;число;окончание
rule_012,Притяжательные окончания -м/-ым/-ім, -м/-ым/-ім тәуелдік жалғау,Окончания,1,Указывают на принадлежность предмета 1-му лицу «мой/моя/мое».,К основе существительного добавляется -м/-ым/-ім.,существительное + -м/-ым/-ім,жұмысым,моя работа,кеңсем,мой офис,жоспарым,мой план,ұйымым,моя организация,хатым,мое письмо,После согласных → -ым/-ім. После гласных → -м.,притяжательное;окончание;1 лицо
rule_013,Конструкция керек/қажет/тиіс,керек/қажет/тиіс конструкциясы,Связующие конструкции,2,Выражает необходимость или долженствование. «Нужно», «должен», «необходимо».,Глагол в форме -у + керек/қажет/тиіс. Или существительное/местоимение + -ға/-ге + керек.,инфинитив + керек/қажет/тиіс,Барy керек,Нужно идти,Осыны білу қажет,Это нужно знать,Жауап беру тиіс,Должен ответить,Жұмыс істеу керек,Нужно работать,Құжатты бекіту қажет,Нужно утвердить документ,«Тиіс» более категоричное чем «керек».,конструкция;долженствование;необходимость
rule_014,Окончание творительного падежа -мен/-бен/-пен, -мен/-бен/-пен көмектес септік,Окончания,1,Обозначает инструмент или совместность действия. «С/со» «кем? чем?»,К основе добавляется -мен/-бен/-пен.,существительное + -мен/-бен/-пен,доспен,с другом,қаламмен,ручкой,жұмыспен,работой,қуанышпен,с радостью,заңмен,по закону,После гласных и звонких → -мен/-бен. После глухих → -пен.,падеж;творительный;окончание
rule_015,Условное наклонение -са/-се, -са/-се шартты рай,Связующие конструкции,2,Выражает условие «если». К основе глагола добавляется -са/-се.,основа глагола + -са/-се + личные окончания,барса,если пойдет,келсе,если придет,жазса,если напишет,айтса,если скажет,білсе,если узнает,В сложных предложениях часто переводится как «если……то……».,условное;наклонение;если
